"","V1","V2"
"1","1994/10/17","18"
"2","1994/11/27","12"
"3","1994/03/27","15"
"4","1994/04/15","00"
"5","1994/04/15","12"
"6","1994/04/25","18"
"7","1994/04/26","15"
"8","1994/05/13","12"
"9","1994/05/29","21"
"10","1994/05/06","00"
"11","1994/05/06","21"
"12","1994/06/10","18"
"13","1994/06/12","21"
"14","1994/06/26","18"
"15","1994/06/07","18"
"16","1994/06/08","18"
"17","1994/07/16","21"
"18","1994/07/19","21"
"19","1994/07/27","18"
"20","1994/08/16","12"
"21","1994/08/07","21"
"22","1995/10/27","18"
"23","1995/10/04","15"
"24","1995/11/11","12"
"25","1995/11/12","00"
"26","1995/11/07","18"
"27","1995/03/07","12"
"28","1995/04/17","21"
"29","1995/04/19","18"
"30","1995/04/20","18"
"31","1995/04/22","12"
"32","1995/05/10","06"
"33","1995/05/12","18"
"34","1995/05/13","18"
"35","1995/05/15","21"
"36","1995/05/16","21"
"37","1995/05/18","12"
"38","1995/05/22","18"
"39","1995/05/27","21"
"40","1995/05/31","15"
"41","1995/05/07","12"
"42","1995/05/08","21"
"43","1995/06/02","21"
"44","1995/06/03","21"
"45","1995/06/04","18"
"46","1995/06/05","18"
"47","1995/06/08","00"
"48","1995/06/08","21"
"49","1995/06/09","12"
"50","1995/07/21","21"
"51","1995/07/27","12"
"52","1995/07/04","18"
"53","1996/10/26","12"
"54","1996/10/07","12"
"55","1996/11/07","15"
"56","1996/11/08","12"
"57","1996/01/18","12"
"58","1996/03/18","18"
"59","1996/03/05","21"
"60","1996/04/15","15"
"61","1996/04/19","21"
"62","1996/04/21","21"
"63","1996/05/10","06"
"64","1996/05/17","21"
"65","1996/05/23","00"
"66","1996/05/25","21"
"67","1996/05/26","18"
"68","1996/05/27","18"
"69","1996/05/28","18"
"70","1996/05/30","18"
"71","1996/05/31","18"
"72","1996/05/31","21"
"73","1996/05/08","18"
"74","1996/06/20","21"
"75","1996/07/12","15"
"76","1996/07/17","21"
"77","1996/07/18","21"
"78","1996/07/19","12"
"79","1996/07/23","18"
"80","1996/08/01","00"
"81","1996/09/16","18"
"82","1996/09/20","12"
"83","1997/10/11","21"
"84","1997/10/23","18"
"85","1997/10/26","12"
"86","1997/10/08","15"
"87","1997/01/24","12"
"88","1997/02/28","21"
"89","1997/03/01","15"
"90","1997/03/28","21"
"91","1997/04/10","21"
"92","1997/04/23","12"
"93","1997/04/30","18"
"94","1997/04/04","15"
"95","1997/05/25","21"
"96","1997/05/26","21"
"97","1997/05/27","18"
"98","1997/05/29","18"
"99","1997/05/07","21"
"100","1997/06/11","15"
"101","1997/06/14","18"
"102","1997/06/16","18"
"103","1997/07/01","21"
"104","1997/07/02","18"
"105","1997/07/03","21"
"106","1997/08/16","18"
"107","1998/10/17","15"
"108","1998/10/04","18"
"109","1998/11/10","06"
"110","1998/01/11","21"
"111","1998/01/21","18"
"112","1998/02/10","12"
"113","1998/02/16","12"
"114","1998/02/22","18"
"115","1998/03/20","18"
"116","1998/03/29","21"
"117","1998/03/08","15"
"118","1998/04/15","18"
"119","1998/04/16","12"
"120","1998/04/01","15"
"121","1998/04/07","21"
"122","1998/04/08","15"
"123","1998/05/12","21"
"124","1998/05/15","15"
"125","1998/05/19","21"
"126","1998/05/21","15"
"127","1998/05/24","18"
"128","1998/05/28","18"
"129","1998/05/30","15"
"130","1998/05/31","15"
"131","1998/05/07","18"
"132","1998/06/11","21"
"133","1998/06/13","15"
"134","1998/06/14","18"
"135","1998/06/16","21"
"136","1998/06/18","18"
"137","1998/06/24","00"
"138","1998/06/27","21"
"139","1998/06/29","15"
"140","1998/06/30","12"
"141","1998/06/02","15"
"142","1998/06/08","21"
"143","1998/07/06","18"
"144","1998/09/28","12"
"145","1998/09/29","12"
"146","1999/01/17","18"
"147","1999/01/21","21"
"148","1999/01/22","12"
"149","1999/01/01","18"
"150","1999/01/02","12"
"151","1999/03/02","21"
"152","1999/03/05","21"
"153","1999/04/15","12"
"154","1999/04/05","12"
"155","1999/04/08","15"
"156","1999/05/16","18"
"157","1999/05/25","18"
"158","1999/05/31","18"
"159","1999/05/02","18"
"160","1999/05/03","21"
"161","1999/05/04","12"
"162","1999/05/05","21"
"163","1999/06/27","21"
"164","1999/06/29","18"
"165","1999/06/01","21"
"166","1999/06/03","21"
"167","1999/06/04","21"
"168","1999/06/04","21"
"169","1999/06/05","18"
"170","1999/06/06","15"
"171","1999/08/15","18"
"172","1999/08/09","21"
"173","1999/09/15","12"
"174","2000/10/22","15"
"175","2000/10/29","18"
"176","2000/10/31","21"
"177","2000/11/12","18"
"178","2000/12/16","15"
"179","2000/01/03","12"
"180","2000/02/13","21"
"181","2000/03/22","21"
"182","2000/03/26","21"
"183","2000/03/28","21"
"184","2000/04/23","18"
"185","2000/04/30","18"
"186","2000/04/02","21"
"187","2000/04/03","12"
"188","2000/05/11","21"
"189","2000/05/12","15"
"190","2000/05/17","18"
"191","2000/05/18","15"
"192","2000/05/23","18"
"193","2000/05/24","21"
"194","2000/05/26","15"
"195","2000/06/13","18"
"196","2000/06/20","18"
"197","2000/07/25","18"
"198","2000/09/22","12"
"199","2001/10/12","18"
"200","2001/10/13","12"
"201","2001/10/24","18"
"202","2001/10/09","18"
"203","2001/11/15","15"
"204","2001/11/24","00"
"205","2001/11/24","12"
"206","2001/11/26","18"
"207","2001/02/24","21"
